Title,Price,Star_Rating,Title_Length,Clean_Rating
A Light in the Attic,51.77,Three,20,Three
Tipping the Velvet,53.74,One,18,One
Soumission,50.1,One,10,One
Sharp Objects,47.82,Four,13,Four
Sapiens: A Brief History of Humankind,54.23,Five,37,Five
The Requiem Red,22.65,One,15,One
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,50,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,87,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,94,Four
The Black Maria,52.15,One,15,One
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,46,Two
Shakespeare's Sonnets,20.66,Four,21,Four
Set Me Free,17.46,Five,11,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,55,Five
Rip it Up and Start Again,35.02,Five,25,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,82,Three
Olio,23.88,One,4,One
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,53,One
Libertarianism for Beginners,51.33,Two,28,Two
It's Only the Himalayas,45.17,Two,23,Two
